DATE,DDFUELUSGULF
2017-07-10,1.407
2017-07-11,1.439
2017-07-12,1.435
2017-07-13,1.451
2017-07-14,1.479
2017-07-17,1.460
2017-07-18,1.472
2017-07-19,1.517
2017-07-20,1.511
2017-07-21,1.480
2017-07-24,1.482
2017-07-25,1.530
2017-07-26,1.563
2017-07-27,1.573
2017-07-28,1.606
2017-07-31,1.633
2017-08-01,1.612
2017-08-02,1.621
2017-08-03,1.606
2017-08-04,1.613
2017-08-07,1.605
2017-08-08,1.593
2017-08-09,1.620
2017-08-10,1.594
2017-08-11,1.596
2017-08-14,1.566
2017-08-15,1.565
2017-08-16,1.541
2017-08-17,1.548
2017-08-18,1.589
2017-08-21,1.538
2017-08-22,1.557
2017-08-23,1.596
2017-08-24,1.599
2017-08-25,1.594
2017-08-28,1.611
2017-08-29,1.641
2017-08-30,1.655
2017-08-31,1.755
2017-09-01,1.772
2017-09-04,.
2017-09-05,1.773
2017-09-06,1.815
2017-09-07,1.827
2017-09-08,1.820
2017-09-11,1.747
2017-09-12,1.748
2017-09-13,1.750
2017-09-14,1.774
2017-09-15,1.764
2017-09-18,1.748
2017-09-19,1.740
2017-09-20,1.765
2017-09-21,1.775
2017-09-22,1.772
2017-09-25,1.814
2017-09-26,1.794
2017-09-27,1.787
2017-09-28,1.785
2017-09-29,1.768
2017-10-02,1.725
2017-10-03,1.714
2017-10-04,1.736
2017-10-05,1.752
2017-10-06,1.713
2017-10-09,1.693
2017-10-10,1.724
2017-10-11,1.74
2017-10-12,1.722
2017-10-13,1.752
2017-10-16,1.768
2017-10-17,1.768
2017-10-18,1.763
2017-10-19,1.731
2017-10-20,1.758
2017-10-23,1.739
2017-10-24,1.775
2017-10-25,1.77
2017-10-26,1.801
2017-10-27,1.826
2017-10-30,1.828
2017-10-31,1.826
2017-11-01,1.808
2017-11-02,1.808
2017-11-03,1.831
2017-11-06,1.876
2017-11-07,1.859
2017-11-08,1.855
2017-11-09,1.884
2017-11-10,1.868
2017-11-13,1.862
2017-11-14,1.826
2017-11-15,1.836
2017-11-16,1.834
2017-11-17,1.857
2017-11-20,1.857
2017-11-21,1.855
2017-11-22,1.854
2017-11-23,.
2017-11-24,1.876
2017-11-27,1.871
2017-11-28,1.884
2017-11-29,1.847
2017-11-30,1.819
2017-12-01,1.865
2017-12-04,1.821
2017-12-05,1.84
2017-12-06,1.785
2017-12-07,1.816
2017-12-08,1.854
2017-12-11,1.875
2017-12-12,1.864
2017-12-13,1.836
2017-12-14,1.83
2017-12-15,1.823
2017-12-18,1.843
2017-12-19,1.85
2017-12-20,1.857
2017-12-21,1.861
2017-12-22,1.883
2017-12-25,.
2017-12-26,1.955
2017-12-27,1.941
2017-12-28,1.961
2017-12-29,1.966
2018-01-01,.
2018-01-02,1.965
2018-01-03,1.97
2018-01-04,1.955
2018-01-05,1.969
2018-01-08,1.957
2018-01-09,1.976
2018-01-10,1.985
2018-01-11,2.073
2018-01-12,1.984
2018-01-15,.
2018-01-16,1.962
2018-01-17,1.971
2018-01-18,1.98
2018-01-19,1.934
2018-01-22,1.995
2018-01-23,2.033
2018-01-24,2.052
2018-01-25,2.048
2018-01-26,2.08
2018-01-29,2.047
2018-01-30,2.011
2018-01-31,2.016
2018-02-01,2.044
2018-02-02,1.992
2018-02-05,1.962
2018-02-06,1.94
2018-02-07,1.882
2018-02-08,1.866
2018-02-09,1.815
2018-02-12,1.801
2018-02-13,1.797
2018-02-14,1.847
2018-02-15,1.852
2018-02-16,1.868
2018-02-19,.
2018-02-20,1.884
2018-02-21,1.883
2018-02-22,1.914
2018-02-23,1.934
2018-02-26,1.949
2018-02-27,1.928
2018-02-28,1.866
2018-03-01,1.848
2018-03-02,1.844
2018-03-05,1.849
2018-03-06,1.854
2018-03-07,1.834
2018-03-08,1.816
2018-03-09,1.835
2018-03-12,1.818
2018-03-13,1.825
2018-03-14,1.839
2018-03-15,1.848
2018-03-16,1.909
2018-03-19,1.868
2018-03-20,1.91
2018-03-21,1.973
2018-03-22,1.95
2018-03-23,1.979
2018-03-26,1.973
2018-03-27,1.97
2018-03-28,1.975
2018-03-29,1.982
2018-03-30,.
2018-04-02,1.943
2018-04-03,1.96
2018-04-04,1.945
2018-04-05,1.941
2018-04-06,1.92
2018-04-09,1.962
2018-04-10,2.029
2018-04-11,2.057
2018-04-12,2.044
2018-04-13,2.059
2018-04-16,2.026
2018-04-17,2.008
2018-04-18,2.054
2018-04-19,2.065
2018-04-20,2.071
2018-04-23,2.066
2018-04-24,2.077
2018-04-25,2.086
2018-04-26,2.102
2018-04-27,2.094
2018-04-30,2.109
2018-05-01,2.071
2018-05-02,2.082
2018-05-03,2.085
2018-05-04,2.12
2018-05-07,2.141
2018-05-08,2.146
2018-05-09,2.197
2018-05-10,2.201
2018-05-11,2.199
2018-05-14,2.232
2018-05-15,2.216
2018-05-16,2.236
2018-05-17,2.251
2018-05-18,2.237
2018-05-21,2.242
2018-05-22,2.232
2018-05-23,2.245
2018-05-24,2.222
2018-05-25,2.16
2018-05-28,.
2018-05-29,2.14
2018-05-30,2.187
2018-05-31,2.167
2018-06-01,2.139
2018-06-04,2.112
2018-06-05,2.094
2018-06-06,2.097
2018-06-07,2.138
2018-06-08,2.122
2018-06-11,2.116
2018-06-12,2.115
2018-06-13,2.142
2018-06-14,2.117
2018-06-15,2.039
2018-06-18,2.088
2018-06-19,2.081
2018-06-20,2.054
2018-06-21,2.034
2018-06-22,2.08
2018-06-25,2.062
2018-06-26,2.088
2018-06-27,2.128
2018-06-28,2.13
2018-06-29,2.163
2018-07-02,2.115
2018-07-03,2.124
2018-07-04,.
2018-07-05,2.141
2018-07-06,2.132
2018-07-09,2.159
